Gmt time,Open,High,Low,Close,Volume
15.06.2023 00:00:00.000,1.08427,1.08444,1.08369,1.08381,5730.5
15.06.2023 01:00:00.000,1.08381,1.08381,1.08101,1.08108,15468.64
15.06.2023 02:00:00.000,1.08108,1.08157,1.08081,1.08133,11261.85
15.06.2023 03:00:00.000,1.08132,1.08157,1.08107,1.08132,6484.67
15.06.2023 04:00:00.000,1.08132,1.08149,1.08099,1.08115,5965.36
15.06.2023 05:00:00.000,1.08115,1.08233,1.08056,1.08183,11948.18
15.06.2023 06:00:00.000,1.08182,1.08206,1.08036,1.08103,15957.52
15.06.2023 07:00:00.000,1.08104,1.08288,1.08057,1.08269,14691.29
15.06.2023 08:00:00.000,1.08267,1.08373,1.08244,1.08327,11837.22
15.06.2023 09:00:00.000,1.0833,1.08475,1.08311,1.08475,14210.5
15.06.2023 10:00:00.000,1.08474,1.08487,1.08344,1.08421,10635.53
15.06.2023 11:00:00.000,1.08422,1.08432,1.08177,1.08177,13790.45
15.06.2023 12:00:00.000,1.08178,1.08809,1.08144,1.08643,44413.0304
15.06.2023 13:00:00.000,1.08641,1.09007,1.08584,1.08992,37185.9599
15.06.2023 14:00:00.000,1.0899,1.09213,1.0899,1.09105,26603.47
15.06.2023 15:00:00.000,1.09103,1.09356,1.09098,1.09326,17757.05
15.06.2023 16:00:00.000,1.09326,1.0945,1.0932,1.09436,12373.59
15.06.2023 17:00:00.000,1.09435,1.09499,1.09394,1.09429,8479.73
15.06.2023 18:00:00.000,1.0943,1.09511,1.09418,1.09502,8925.29
15.06.2023 19:00:00.000,1.09502,1.09525,1.09452,1.09476,10466.07
15.06.2023 20:00:00.000,1.09476,1.09491,1.09444,1.09448,2753.17
15.06.2023 21:00:00.000,1.09448,1.09448,1.09412,1.09415,363.09
15.06.2023 22:00:00.000,1.0944,1.09492,1.09437,1.09489,4126.03
15.06.2023 23:00:00.000,1.0949,1.0951,1.09451,1.09455,5943.5
16.06.2023 00:00:00.000,1.09455,1.09507,1.09398,1.0942,0.00824295
16.06.2023 01:00:00.000,1.09421,1.09482,1.09399,1.09434,0.00992673
16.06.2023 02:00:00.000,1.09433,1.09456,1.09354,1.09362,0.01092019
16.06.2023 03:00:00.000,1.09362,1.09425,1.09362,1.09381,0.00861287
16.06.2023 04:00:00.000,1.09382,1.09429,1.09366,1.09387,0.00573677
16.06.2023 05:00:00.000,1.09387,1.09449,1.09374,1.09396,0.01017399
16.06.2023 06:00:00.000,1.09395,1.09624,1.09392,1.0947,0.0187605
16.06.2023 07:00:00.000,1.09471,1.09521,1.09339,1.09426,0.01876707
16.06.2023 12:00:00.000,1.09602,1.09704,1.09475,1.09509,0.0213442
16.06.2023 13:00:00.000,1.09508,1.09583,1.09424,1.09533,0.02425478
16.06.2023 14:00:00.000,1.09533,1.0967,1.09178,1.0925,0.04291178
16.06.2023 15:00:00.000,1.09252,1.09316,1.09217,1.0924,0.02121235
16.06.2023 16:00:00.000,1.0924,1.09338,1.09239,1.09338,0.01099683
19.06.2023 02:00:00.000,1.09366,1.09407,1.09361,1.09363,0.00647164
19.06.2023 03:00:00.000,1.09363,1.09379,1.09337,1.09369,0.00762005
19.06.2023 04:00:00.000,1.09369,1.0937,1.09321,1.09347,0.00848108
19.06.2023 05:00:00.000,1.09349,1.09412,1.09317,1.09401,0.00993861
19.06.2023 06:00:00.000,1.09401,1.09402,1.09275,1.09293,0.01647731
19.06.2023 12:00:00.000,1.09212,1.09294,1.09194,1.09258,0.01186265
19.06.2023 13:00:00.000,1.09258,1.0926,1.09168,1.09182,0.01230947
19.06.2023 14:00:00.000,1.09183,1.09262,1.09121,1.09228,0.01342953
19.06.2023 15:00:00.000,1.09227,1.09288,1.09214,1.09218,0.0080252
19.06.2023 16:00:00.000,1.09219,1.09261,1.09157,1.09161,0.00567282
19.06.2023 17:00:00.000,1.09162,1.09191,1.09158,1.09174,0.00247225
19.06.2023 22:00:00.000,1.09206,1.09261,1.09206,1.09226,0.002666
19.06.2023 23:00:00.000,1.09225,1.09246,1.09189,1.09235,0.00273992
20.06.2023 00:00:00.000,1.09234,1.09261,1.09169,1.092,10066.55
20.06.2023 01:00:00.000,1.09199,1.09221,1.0911,1.09131,14437.75
20.06.2023 02:00:00.000,1.09131,1.09237,1.09106,1.09223,14651.5
20.06.2023 03:00:00.000,1.09221,1.09237,1.09187,1.09197,7750.99
20.06.2023 04:00:00.000,1.09197,1.09204,1.09128,1.09136,8671.68
20.06.2023 05:00:00.000,1.09136,1.09262,1.09116,1.09262,11198.79
20.06.2023 06:00:00.000,1.09262,1.09322,1.09195,1.09215,19360.14
20.06.2023 07:00:00.000,1.09215,1.09461,1.0915,1.09438,24328.72
20.06.2023 08:00:00.000,1.09436,1.09447,1.09317,1.09378,18368.94
20.06.2023 09:00:00.000,1.09378,1.09399,1.09227,1.0925,17756.99
20.06.2023 10:00:00.000,1.0925,1.09342,1.09247,1.09281,14390.55
20.06.2023 11:00:00.000,1.09281,1.09321,1.09219,1.09287,14551.32
20.06.2023 12:00:00.000,1.09288,1.09357,1.09121,1.09193,25088.06
20.06.2023 13:00:00.000,1.09192,1.09245,1.09062,1.09164,31799.81
20.06.2023 14:00:00.000,1.09163,1.09206,1.08921,1.09013,34316.84
20.06.2023 15:00:00.000,1.09013,1.09095,1.08996,1.08996,22153.39
20.06.2023 16:00:00.000,1.08996,1.09161,1.08953,1.09151,14502.74
20.06.2023 17:00:00.000,1.09149,1.09168,1.0912,1.09152,8870.23
20.06.2023 18:00:00.000,1.09154,1.09175,1.09114,1.09171,11359.28
20.06.2023 19:00:00.000,1.09169,1.09174,1.09097,1.09126,8538.96
20.06.2023 20:00:00.000,1.09126,1.09184,1.09122,1.09173,2482.53
20.06.2023 21:00:00.000,1.0917,1.09217,1.09167,1.0918,444.17
20.06.2023 22:00:00.000,1.0918,1.09204,1.0918,1.09197,2697.43
20.06.2023 23:00:00.000,1.09196,1.09222,1.09182,1.09198,5236.81
21.06.2023 00:00:00.000,1.09197,1.09199,1.09145,1.09159,0.01224637
21.06.2023 05:00:00.000,1.09161,1.09175,1.09102,1.09122,0.01165737
21.06.2023 07:00:00.000,1.09102,1.09197,1.0909,1.09128,0.01777271
21.06.2023 09:00:00.000,1.09249,1.09297,1.09163,1.09165,0.01699773
21.06.2023 11:00:00.000,1.09182,1.09267,1.09162,1.09242,0.0142291
21.06.2023 13:00:00.000,1.09249,1.09309,1.09105,1.09266,0.02912852
21.06.2023 15:00:00.000,1.09546,1.09562,1.09433,1.09505,0.02084271
21.06.2023 17:00:00.000,1.09706,1.09793,1.09671,1.09773,0.01287639
21.06.2023 19:00:00.000,1.09847,1.09894,1.09815,1.09879,0.01305769
21.06.2023 21:00:00.000,1.09859,1.09859,1.0982,1.09836,0.00123786
21.06.2023 23:00:00.000,1.09905,1.09923,1.09896,1.09915,0.00475999
22.06.2023 00:00:00.000,1.09916,1.09921,1.09866,1.09883,0.01104603
22.06.2023 01:00:00.000,1.09884,1.09949,1.0987,1.09935,0.00721657
22.06.2023 02:00:00.000,1.09936,1.09936,1.09883,1.09935,0.00758144
22.06.2023 03:00:00.000,1.09935,1.09943,1.0991,1.09929,0.00705104
22.06.2023 04:00:00.000,1.09928,1.09938,1.09865,1.09872,0.00765005
22.06.2023 05:00:00.000,1.09873,1.09905,1.09848,1.09858,0.01068267
22.06.2023 06:00:00.000,1.0986,1.09905,1.09806,1.09826,0.01288879
22.06.2023 07:00:00.000,1.09826,1.09999,1.09797,1.09943,0.02122583
22.06.2023 08:00:00.000,1.09943,1.10035,1.09872,1.09929,0.01912614
22.06.2023 09:00:00.000,1.09928,1.10039,1.09921,1.10018,0.01241983
22.06.2023 11:00:00.000,1.10045,1.10122,1.0988,1.09892,0.02900153
22.06.2023 12:00:00.000,1.09891,1.10016,1.09803,1.09824,0.0264612
22.06.2023 13:00:00.000,1.09822,1.0985,1.0968,1.09811,0.03095323
